nome_empresa,url_site,data_coleta,categoria_produto,nome_produto,material,relacionado_madeira,menciona_pinus,fonte_indicio,categoria_produto_norm,categoria_produto_grupo,material_norm,material_grupo
Madesp Ind E Com De Madeiras Ltda - Benedito Novo,https://madesp.ind.br/,2026-01-15T12:42:26.824439+00:00,,Rabbeted Jambs,Wood,yes,no,## Rabbeted Jambs,nan,outros,wood,Madeira
Madesp Ind E Com De Madeiras Ltda - Benedito Novo,https://madesp.ind.br/,2026-01-15T12:42:26.824439+00:00,,Split Jambs,Wood,yes,no,## Split Jambs,nan,outros,wood,Madeira
Madesp Ind E Com De Madeiras Ltda - Benedito Novo,https://madesp.ind.br/,2026-01-15T12:42:26.824439+00:00,,Flat Jambs With Stops Applied,Wood,yes,no,## Flat Jambs With Stops Applied,nan,outros,wood,Madeira
Madesp Ind E Com De Madeiras Ltda - Benedito Novo,https://madesp.ind.br/,2026-01-15T12:42:26.824439+00:00,,Exterior Jambs / Strike,Wood,yes,no,## Exterior Jambs / Strike,nan,outros,wood,Madeira
Madesp Ind E Com De Madeiras Ltda - Benedito Novo,https://madesp.ind.br/,2026-01-15T12:42:26.824439+00:00,,Casing,Wood,yes,no,## Casing,nan,outros,wood,Madeira
Madesp Ind E Com De Madeiras Ltda - Benedito Novo,https://madesp.ind.br/,2026-01-15T12:42:26.824439+00:00,,Boards / S4S,Wood,yes,no,## Boards / S4S,nan,outros,wood,Madeira
Madesp Ind E Com De Madeiras Ltda - Benedito Novo,https://madesp.ind.br/,2026-01-15T12:42:26.824439+00:00,,Stool,Wood,yes,no,## Stool,nan,outros,wood,Madeira
Madesp Ind E Com De Madeiras Ltda - Benedito Novo,https://madesp.ind.br/,2026-01-15T12:42:26.824439+00:00,,Base,Wood,yes,no,## Base,nan,outros,wood,Madeira
Madesp Ind E Com De Madeiras Ltda - Benedito Novo,https://madesp.ind.br/,2026-01-15T12:42:26.824439+00:00,,Chair Rail,Wood,yes,no,## Chair Rail,nan,outros,wood,Madeira
Madesp Ind E Com De Madeiras Ltda - Benedito Novo,https://madesp.ind.br/,2026-01-15T12:42:26.824439+00:00,,Cove,Wood,yes,no,## Cove,nan,outros,wood,Madeira
Madesp Ind E Com De Madeiras Ltda - Benedito Novo,https://madesp.ind.br/,2026-01-15T12:42:26.824439+00:00,,Crown,Wood,yes,no,## Crown,nan,outros,wood,Madeira
Madesp Ind E Com De Madeiras Ltda - Benedito Novo,https://madesp.ind.br/,2026-01-15T12:42:26.824439+00:00,,Shiplap,Wood,yes,no,## Shiplap,nan,outros,wood,Madeira
Madesp Ind E Com De Madeiras Ltda - Benedito Novo,https://madesp.ind.br/,2026-01-15T12:42:26.824439+00:00,,Complementary Line,Wood,yes,no,## Complementary Line,nan,outros,wood,Madeira
Madesp Ind E Com De Madeiras Ltda - Benedito Novo,https://madesp.ind.br/,2026-01-15T12:42:26.824439+00:00,,Stretcher / Liners,Wood,yes,no,## Stretcher / Liners,nan,outros,wood,Madeira
Madesp Ind E Com De Madeiras Ltda - Benedito Novo,https://madesp.ind.br/,2026-01-15T12:42:26.824439+00:00,,MDF Flat Jambs / Boards,MDF (wood composite),yes,no,## MDF Flat Jambs / Boards,nan,outros,mdf (wood composite),Madeira
Madesp Ind E Com De Madeiras Ltda - Benedito Novo,https://madesp.ind.br/,2026-01-15T12:42:26.824439+00:00,,Mitered,Wood,yes,no,## Mitered,nan,outros,wood,Madeira
Manoel Marchetti S.A. - Ibirama,https://www.marchetti.ind.br,2026-01-15T12:56:10.335976+00:00,Portas,Portas,,yes,no,Portas,portas,portas,,Não especificado
Manoel Marchetti S.A. - Ibirama,https://www.marchetti.ind.br,2026-01-15T12:56:10.335976+00:00,Edificações Pré-Fabricadas,Edificações Pré-Fabricadas,,yes,no,Edificações Pré-Fabricadas,edificacoes pre-fabricadas,outros,,Não especificado
Maxima Industria De Moveis Ltda - Sao Bento do Sul,https://www.maxima.ind.br/,2026-01-15T13:05:25.568968+00:00,Buffets,Balcão Bari 3 Portas 3 Gavetas,Carvalho (Oak),yes,no,extracted_content_0.md,buffets,moveis,carvalho (oak),Carvalho (oak)
Maxima Industria De Moveis Ltda - Sao Bento do Sul,https://www.maxima.ind.br/,2026-01-15T13:05:25.568968+00:00,Buffets,Buffet Mantiqueira,Madeira Tauari (Tauari Wood),yes,no,extracted_content_0.md,buffets,moveis,madeira tauari (tauari wood),Madeira
Maxima Industria De Moveis Ltda - Sao Bento do Sul,https://www.maxima.ind.br/,2026-01-15T13:05:25.568968+00:00,Adegas,Adega Mystic,,yes,no,extracted_content_1.md,adegas,outros,,Não especificado
Maxima Industria De Moveis Ltda - Sao Bento do Sul,https://www.maxima.ind.br/,2026-01-15T13:05:25.568968+00:00,Adegas,Adega Novita,,yes,no,extracted_content_1.md,adegas,outros,,Não especificado
Maxima Industria De Moveis Ltda - Sao Bento do Sul,https://www.maxima.ind.br/,2026-01-15T13:05:25.568968+00:00,Aparadores,Aparador Arapoti,Madeira Jequitiba,yes,no,extracted_content_0.md,aparadores,moveis,madeira jequitiba,Madeira
Maxima Industria De Moveis Ltda - Sao Bento do Sul,https://www.maxima.ind.br/,2026-01-15T13:05:25.568968+00:00,Aparadores,Aparador Block,Madeira preta e Jequitiba,yes,no,extracted_content_0.md,aparadores,moveis,madeira preta e jequitiba,Madeira
Maxima Industria De Moveis Ltda - Sao Bento do Sul,https://www.maxima.ind.br/,2026-01-15T13:05:25.568968+00:00,Aparadores,Aparador ELLE,Nogueira (wood),yes,no,extracted_content_0.md,aparadores,moveis,nogueira (wood),Madeira
Moldufama - Armazem,https://www.moldufama.com.br/,2026-01-15T13:32:03.238511+00:00,,Painél Ripado Branco 105 mm | 10105,,yes,no,#### Painél Ripado Branco 105 mm | 10105,nan,outros,,Não especificado
Moldufama - Armazem,https://www.moldufama.com.br/,2026-01-15T13:32:03.238511+00:00,,Painél Ripado Imbuia 105 mm | 10105,,yes,no,#### Painél Ripado Imbuia 105 mm | 10105,nan,outros,,Não especificado
Moldufama - Armazem,https://www.moldufama.com.br/,2026-01-15T13:32:03.238511+00:00,,Painél Ripado Preto 105 mm | 10105,,yes,no,#### Painél Ripado Preto 105 mm | 10105,nan,outros,,Não especificado
Moldufama - Armazem,https://www.moldufama.com.br/,2026-01-15T13:32:03.238511+00:00,,Painél Ripado Turim 105 mm | 10105,,yes,no,#### Painél Ripado Turim 105 mm | 10105,nan,outros,,Não especificado
Moldufama - Armazem,https://www.moldufama.com.br/,2026-01-15T13:32:03.238511+00:00,,Rodapé | 702-CP Carvalho Prime,Carvalho,yes,no,#### Rodapé | 702-CP Carvalho Prime,nan,outros,carvalho,Carvalho
Moldufama - Armazem,https://www.moldufama.com.br/,2026-01-15T13:32:03.238511+00:00,,Rodapé | 1002-CP Carvalho Prime,Carvalho,yes,no,#### Rodapé | 1002-CP Carvalho Prime,nan,outros,carvalho,Carvalho
Moveis Cavazotto - Coronel Freitas,https://cavazotto.com.br/,2026-01-15T13:49:14.794081+00:00,,ROUPEIRO ATENAS,Freijo,yes,no,Extracted text,nan,outros,freijo,Freijo
Moveis Cavazotto - Coronel Freitas,https://cavazotto.com.br/,2026-01-15T13:49:14.794081+00:00,,ROUPEIRO BOGOTÁ,Mogno,yes,no,Extracted text,nan,outros,mogno,Mogno
Moveis Cavazotto - Coronel Freitas,https://cavazotto.com.br/,2026-01-15T13:49:14.794081+00:00,,ROUPEIRO DUBLIN,Imbuia,yes,no,Extracted text,nan,outros,imbuia,Imbuia
Moveis Cavazotto - Coronel Freitas,https://cavazotto.com.br/,2026-01-15T13:49:14.794081+00:00,,ROUPEIRO BERLIM 5 PTS,,yes,no,Product image suggests wood,nan,outros,,Não especificado
Moveis Cavazotto - Coronel Freitas,https://cavazotto.com.br/,2026-01-15T13:49:14.794081+00:00,Linha Brasil,Roupeiro Santiago,,yes,no,Product image suggests wood,linha brasil,outros,,Não especificado
Moveis Cavazotto - Coronel Freitas,https://cavazotto.com.br/,2026-01-15T13:49:14.794081+00:00,,ROUPEIRO MULTIUSO 2 PTS,,yes,no,Product image suggests wood,nan,outros,,Não especificado
Moveis Cavazotto - Coronel Freitas,https://cavazotto.com.br/,2026-01-15T13:49:14.794081+00:00,,Armário COZINHA BRASIL 3 PTS,,yes,no,Product image suggests wood,nan,outros,,Não especificado
Moveis Cavazotto - Coronel Freitas,https://cavazotto.com.br/,2026-01-15T13:49:14.794081+00:00,,ROUPEIRO BRASIL 3 PTS,,yes,no,Product image suggests wood,nan,outros,,Não especificado
Moveis Cavazotto - Coronel Freitas,https://cavazotto.com.br/,2026-01-15T13:49:14.794081+00:00,Linha Grécia,ROUPEIRO BRASIL 4 PTS,,yes,no,Product image suggests wood,linha grecia,outros,,Não especificado
Moveis Cavazotto - Coronel Freitas,https://cavazotto.com.br/,2026-01-15T13:49:14.794081+00:00,,ROUPEIRO GRÉCIA 3 PTS,,yes,no,Product image suggests wood,nan,outros,,Não especificado
Moveis Cavazotto - Coronel Freitas,https://cavazotto.com.br/,2026-01-15T13:49:14.794081+00:00,,ROUPEIRO GRÉCIA 4 PTS,,yes,no,Product image suggests wood,nan,outros,,Não especificado
Moveis Cavazotto - Coronel Freitas,https://cavazotto.com.br/,2026-01-15T13:49:14.794081+00:00,,ROUPEIRO GRÉCIA 5 PTS,,yes,no,Product image suggests wood,nan,outros,,Não especificado
Moveis Cavazotto - Coronel Freitas,https://cavazotto.com.br/,2026-01-15T13:49:14.794081+00:00,,ROUPEIRO CAPELINHA,,yes,no,Product image suggests wood,nan,outros,,Não especificado
Moveis Cavazotto - Coronel Freitas,https://cavazotto.com.br/,2026-01-15T13:49:14.794081+00:00,,CAMA SOLTEIRO GRÉCIA,,yes,no,Product image suggests wood,nan,outros,,Não especificado
Moveis Cavazotto - Coronel Freitas,https://cavazotto.com.br/,2026-01-15T13:49:14.794081+00:00,,CAMA CASAL GRÉCIA,,yes,no,Product image suggests wood,nan,outros,,Não especificado
Moveis Cavazotto - Coronel Freitas,https://cavazotto.com.br/,2026-01-15T13:49:14.794081+00:00,Linha Milão,ROUPEIRO MILÃO 3 PTS,,yes,no,Product image suggests wood,linha milao,outros,,Não especificado
Moveis Cavazotto - Coronel Freitas,https://cavazotto.com.br/,2026-01-15T13:49:14.794081+00:00,,ROUPEIRO MILÃO 4 PTS,,yes,no,Product image suggests wood,nan,outros,,Não especificado
Moveis Cavazotto - Coronel Freitas,https://cavazotto.com.br/,2026-01-15T13:49:14.794081+00:00,Linha Paris,CAMA CASAL PARIS,,yes,no,Product image suggests wood,linha paris,outros,,Não especificado
Moveis Cavazotto - Coronel Freitas,https://cavazotto.com.br/,2026-01-15T13:49:14.794081+00:00,Linha Roma,Sala Roma,,yes,no,Product image suggests wood,linha roma,outros,,Não especificado
Moveis Cavazotto - Coronel Freitas,https://cavazotto.com.br/,2026-01-15T13:49:14.794081+00:00,Linha Versalles,Cozinha Versalles,,yes,no,Product image suggests wood,linha versalles,outros,,Não especificado
Moveis Grossl Ltda - Sao Bento do Sul,https://grossl.com.br/,2026-01-15T13:45:41.913717+00:00,Adesivos para Madeira,ADVANTAGE EP-950A,Unknown,yes,no,https://grossl.com.br/?s=,adesivos para madeira,madeira,unknown,Não especificado
Moveis Grossl Ltda - Sao Bento do Sul,https://grossl.com.br/,2026-01-15T13:45:41.913717+00:00,Adesivos para Madeira,Adesivo AB,Unknown,yes,no,https://grossl.com.br/?s=,adesivos para madeira,madeira,unknown,Não especificado
Moveis Grossl Ltda - Sao Bento do Sul,https://grossl.com.br/,2026-01-15T13:45:41.913717+00:00,Adesivos para Madeira,Multibond X-080,Unknown,yes,no,https://grossl.com.br/?s=,adesivos para madeira,madeira,unknown,Não especificado
Moveis Grossl Ltda - Sao Bento do Sul,https://grossl.com.br/,2026-01-15T13:45:41.913717+00:00,Adesivos para Madeira,REACTITE EP-940,Unknown,yes,no,https://grossl.com.br/?s=,adesivos para madeira,madeira,unknown,Não especificado
Moveis Grossl Ltda - Sao Bento do Sul,https://grossl.com.br/,2026-01-15T13:45:41.913717+00:00,Adesivos para Madeira,Multibond 2020,Unknown,yes,no,https://grossl.com.br/?s=,adesivos para madeira,madeira,unknown,Não especificado
Moveis Grossl Ltda - Sao Bento do Sul,https://grossl.com.br/,2026-01-15T13:45:41.913717+00:00,Adesivos para Madeira,Willbond 10,Unknown,yes,no,https://grossl.com.br/?s=,adesivos para madeira,madeira,unknown,Não especificado
Moveis Grossl Ltda - Sao Bento do Sul,https://grossl.com.br/,2026-01-15T13:45:41.913717+00:00,Adesivos para Madeira,Titebond 50,Unknown,yes,no,https://grossl.com.br/?s=,adesivos para madeira,madeira,unknown,Não especificado
Moveis Grossl Ltda - Sao Bento do Sul,https://grossl.com.br/,2026-01-15T13:45:41.913717+00:00,Colas,Cola TITEBOND ® Original,Unknown,yes,no,https://grossl.com.br/?s=,colas,outros,unknown,Não especificado
Moveis Grossl Ltda - Sao Bento do Sul,https://grossl.com.br/,2026-01-15T13:45:41.913717+00:00,Massa Acrílica para Madeira,Massa Acrílica para Madeira,Wood,yes,no,https://grossl.com.br/?s=,massa acrilica para madeira,madeira,wood,Madeira
Moveis Princesa Oeste Ltda - Pinhalzinho,https://www.lojasguido.com.br,2026-01-15T14:07:54.730352+00:00,Cadeiras,CADEIRA RECANTO - MADEIRA MACIÇA,MADEIRA MACIÇA,yes,no,CADEIRA RECANTO - MADEIRA MACIÇA,cadeiras,moveis,madeira macica,Madeira
Moveis Princesa Oeste Ltda - Pinhalzinho,https://www.lojasguido.com.br,2026-01-15T14:07:54.730352+00:00,Painéis / Estantes / Racks e Homes,"PAINEL FRISADO CURITIBA 2,24X2,18 - CINAMOMO",CINAMOMO,yes,no,"PAINEL FRISADO CURITIBA 2,24X2,18 - CINAMOMO",paineis / estantes / racks e homes,moveis,cinamomo,Cinamomo
Moveis Princesa Oeste Ltda - Pinhalzinho,https://www.lojasguido.com.br,2026-01-15T14:07:54.730352+00:00,Painéis / Estantes / Racks e Homes,PAINEL RAVENA - 200 CM DE LARGURA,,yes,no,PAINEL RAVENA - 200 CM DE LARGURA,paineis / estantes / racks e homes,moveis,,Não especificado
Moveis Princesa Oeste Ltda - Pinhalzinho,https://www.lojasguido.com.br,2026-01-15T14:07:54.730352+00:00,Painéis / Estantes / Racks e Homes,PAINEL AREZZO - 220 CM DE LARGURA,,yes,no,PAINEL AREZZO - 220 CM DE LARGURA,paineis / estantes / racks e homes,moveis,,Não especificado
Moveis Princesa Oeste Ltda - Pinhalzinho,https://www.lojasguido.com.br,2026-01-15T14:07:54.730352+00:00,Painéis / Estantes / Racks e Homes,"PAINEL VALDEMOVEIS FRISADO TIRADENTES 1,61X1,8 ./CINAMOMO",CINAMOMO,yes,no,"PAINEL VALDEMOVEIS FRISADO TIRADENTES 1,61X1,8 ./CINAMOMO",paineis / estantes / racks e homes,moveis,cinamomo,Cinamomo
Moveis Princesa Oeste Ltda - Pinhalzinho,https://www.lojasguido.com.br,2026-01-15T14:07:54.730352+00:00,Painéis / Estantes / Racks e Homes,"PAINEL GARDEM - 2,18X1,18MT - OFF WHITE /CEDRO",CEDRO,yes,no,"PAINEL GARDEM - 2,18X1,18MT - OFF WHITE /CEDRO",paineis / estantes / racks e homes,moveis,cedro,Cedro
Moveis Princesa Oeste Ltda - Pinhalzinho,https://www.lojasguido.com.br,2026-01-15T14:07:54.730352+00:00,Painéis / Estantes / Racks e Homes,PAINEL PRIME RIPADO - 230 CM - NATURE,NATURE,yes,no,PAINEL PRIME RIPADO - 230 CM - NATURE,paineis / estantes / racks e homes,moveis,nature,Nature
Moveis Princesa Oeste Ltda - Pinhalzinho,https://www.lojasguido.com.br,2026-01-15T14:07:54.730352+00:00,Painéis / Estantes / Racks e Homes,PAINEL PRIME RIPADO - 184 CM - NATURE,NATURE,yes,no,PAINEL PRIME RIPADO - 184 CM - NATURE,paineis / estantes / racks e homes,moveis,nature,Nature
Moveis Princesa Oeste Ltda - Pinhalzinho,https://www.lojasguido.com.br,2026-01-15T14:07:54.730352+00:00,Cadeiras,CADEIRA BELLA - MADEIRA MACIÇA - ASSENTO EM LINHO,MADEIRA MACIÇA,yes,no,CADEIRA BELLA - MADEIRA MACIÇA - ASSENTO EM LINHO,cadeiras,moveis,madeira macica,Madeira
Moveis Princesa Oeste Ltda - Pinhalzinho,https://www.lojasguido.com.br,2026-01-15T14:07:54.730352+00:00,Cadeiras,CADEIRA SCALA - ESTRUTURA EM MADEIRA MACIÇA - LINHO,MADEIRA MACIÇA,yes,no,CADEIRA SCALA - ESTRUTURA EM MADEIRA MACIÇA - LINHO,cadeiras,moveis,madeira macica,Madeira
Moveis Princesa Oeste Ltda - Pinhalzinho,https://www.lojasguido.com.br,2026-01-15T14:07:54.730352+00:00,Cadeiras,CADEIRÃO PRIMAVER - COM BRAÇOS - MADEIRA MACIÇA,MADEIRA MACIÇA,yes,no,CADEIRÃO PRIMAVER - COM BRAÇOS - MADEIRA MACIÇA,cadeiras,moveis,madeira macica,Madeira
Moveis Princesa Oeste Ltda - Pinhalzinho,https://www.lojasguido.com.br,2026-01-15T14:07:54.730352+00:00,Painéis / Estantes / Racks e Homes,"PAINEL DJ ALANA 1,80X1,69 1P ./BALI/CEDRO",CEDRO,yes,no,"PAINEL DJ ALANA 1,80X1,69 1P ./BALI/CEDRO",paineis / estantes / racks e homes,moveis,cedro,Cedro
Moveis Princesa Oeste Ltda - Pinhalzinho,https://www.lojasguido.com.br,2026-01-15T14:07:54.730352+00:00,Painéis / Estantes / Racks e Homes,"PAINEL DJ ATLAS 2,18X1,35MT C/LED ./CEDRO",CEDRO,yes,no,"PAINEL DJ ATLAS 2,18X1,35MT C/LED ./CEDRO",paineis / estantes / racks e homes,moveis,cedro,Cedro
Moveis Princesa Oeste Ltda - Pinhalzinho,https://www.lojasguido.com.br,2026-01-15T14:07:54.730352+00:00,Painéis / Estantes / Racks e Homes,"MODULO PAINEL HOME VALDEMOVEIS MONACO 42X1,92 ./CINAMOMO",CINAMOMO,yes,no,"MODULO PAINEL HOME VALDEMOVEIS MONACO 42X1,92 ./CINAMOMO",paineis / estantes / racks e homes,moveis,cinamomo,Cinamomo
Moveis Princesa Oeste Ltda - Pinhalzinho,https://www.lojasguido.com.br,2026-01-15T14:07:54.730352+00:00,Painéis / Estantes / Racks e Homes,PAINEL THOR - 200 CM DE LARGURA - OFF WHITE,,yes,no,PAINEL THOR - 200 CM DE LARGURA - OFF WHITE,paineis / estantes / racks e homes,moveis,,Não especificado
Moveis Princesa Oeste Ltda - Pinhalzinho,https://www.lojasguido.com.br,2026-01-15T14:07:54.730352+00:00,Cadeiras,CADEIRA CLASSIC - ASSENTO EM LINHO - ESTRUTURA MADEIRA MACIÇA,MADEIRA MACIÇA,yes,no,CADEIRA CLASSIC - ASSENTO EM LINHO - ESTRUTURA MADEIRA MACIÇA,cadeiras,moveis,madeira macica,Madeira
Moveis Princesa Oeste Ltda - Pinhalzinho,https://www.lojasguido.com.br,2026-01-15T14:07:54.730352+00:00,Painéis / Estantes / Racks e Homes,"PAINEL NOTAVEL NT 1375 1,64MT ./OFF WHITE/FREIJO",FREIJO,yes,no,"PAINEL NOTAVEL NT 1375 1,64MT ./OFF WHITE/FREIJO",paineis / estantes / racks e homes,moveis,freijo,Freijo
Moveis Princesa Oeste Ltda - Pinhalzinho,https://www.lojasguido.com.br,2026-01-15T14:07:54.730352+00:00,Painéis / Estantes / Racks e Homes,"PAINEL TREVISO 2,10X1,80MT COM LED - OFF WHITE/FREIJO",FREIJO,yes,no,"PAINEL TREVISO 2,10X1,80MT COM LED - OFF WHITE/FREIJO",paineis / estantes / racks e homes,moveis,freijo,Freijo
Moveis Princesa Oeste Ltda - Pinhalzinho,https://www.lojasguido.com.br,2026-01-15T14:07:54.730352+00:00,Painéis / Estantes / Racks e Homes,PAINEL PRIME SLIM 1.8 (74781) L.A.P 184X219X22 - NATURE,NATURE,yes,no,PAINEL PRIME SLIM 1.8 (74781) L.A.P 184X219X22 - NATURE,paineis / estantes / racks e homes,moveis,nature,Nature
Moveis Princesa Oeste Ltda - Pinhalzinho,https://www.lojasguido.com.br,2026-01-15T14:07:54.730352+00:00,Cadeiras,CADEIRA CLASSIC - ASSENTO EM CORINO MARROM - ESTRUTURA MADEIRA MACIÇA,MADEIRA MACIÇA,yes,no,CADEIRA CLASSIC - ASSENTO EM CORINO MARROM - ESTRUTURA MADEIRA MACIÇA,cadeiras,moveis,madeira macica,Madeira
Moveis Princesa Oeste Ltda - Pinhalzinho,https://www.lojasguido.com.br,2026-01-15T14:07:54.730352+00:00,Cadeiras,CADEIRA CLASSIC - ASSENTO EM LINHO GRAFITE - ESTRUTURA MADEIRA MACIÇA,MADEIRA MACIÇA,yes,no,CADEIRA CLASSIC - ASSENTO EM LINHO GRAFITE - ESTRUTURA MADEIRA MACIÇA,cadeiras,moveis,madeira macica,Madeira
Moveis Princesa Oeste Ltda - Pinhalzinho,https://www.lojasguido.com.br,2026-01-15T14:07:54.730352+00:00,Painéis / Estantes / Racks e Homes,"PAINEL NOTAVEL NT 1390 2P 1,62MT ./OFF WHITE/FREIJO",FREIJO,yes,no,"PAINEL NOTAVEL NT 1390 2P 1,62MT ./OFF WHITE/FREIJO",paineis / estantes / racks e homes,moveis,freijo,Freijo
Moveis Princesa Oeste Ltda - Pinhalzinho,https://www.lojasguido.com.br,2026-01-15T14:07:54.730352+00:00,Painéis / Estantes / Racks e Homes,"PAINEL LINEA BRASIL FRIBURGO 1P 1,60MT ./NATURE/OFF WHITE",NATURE,yes,no,"PAINEL LINEA BRASIL FRIBURGO 1P 1,60MT ./NATURE/OFF WHITE",paineis / estantes / racks e homes,moveis,nature,Nature
Moveis Princesa Oeste Ltda - Pinhalzinho,https://www.lojasguido.com.br,2026-01-15T14:07:54.730352+00:00,Painéis / Estantes / Racks e Homes,"PAINEL DJ TAYLOR 1,80X2,07 2GVT C/LED ./BALI/CEDRO",CEDRO,yes,no,"PAINEL DJ TAYLOR 1,80X2,07 2GVT C/LED ./BALI/CEDRO",paineis / estantes / racks e homes,moveis,cedro,Cedro
Moveis Princesa Oeste Ltda - Pinhalzinho,https://www.lojasguido.com.br,2026-01-15T14:07:54.730352+00:00,Mesas,"MESA BAOBA 2,10X1,00 VD OFF WHITE ./MADEIRA/OFF WHITE",MADEIRA,yes,no,"MESA BAOBA 2,10X1,00 VD OFF WHITE ./MADEIRA/OFF WHITE",mesas,moveis,madeira,Madeira
Moveis Princesa Oeste Ltda - Pinhalzinho,https://www.lojasguido.com.br,2026-01-15T14:07:54.730352+00:00,Painéis / Estantes / Racks e Homes,"RACK COM PAINEL AVELAN NAPOLI/NORONHA 1,36MT ./FRE/OFF WHITE",FRE,yes,no,"RACK COM PAINEL AVELAN NAPOLI/NORONHA 1,36MT ./FRE/OFF WHITE",paineis / estantes / racks e homes,moveis,fre,Fre
Moveis Princesa Oeste Ltda - Pinhalzinho,https://www.lojasguido.com.br,2026-01-15T14:07:54.730352+00:00,Painéis / Estantes / Racks e Homes,PAINEL DJ HIT 190 EXTENSIVEL 2GVT C/LED ./CEDRO/QUARTZO,CEDRO,yes,no,PAINEL DJ HIT 190 EXTENSIVEL 2GVT C/LED ./CEDRO/QUARTZO,paineis / estantes / racks e homes,moveis,cedro,Cedro
Moveis Princesa Oeste Ltda - Pinhalzinho,https://www.lojasguido.com.br,2026-01-15T14:07:54.730352+00:00,Poltronas e Puffs,POLTRONA YASMIM PES MADEIRA TECIDO 201/856 CREME MARROM - LINHO,MADEIRA,yes,no,POLTRONA YASMIM PES MADEIRA TECIDO 201/856 CREME MARROM - LINHO,poltronas e puffs,moveis,madeira,Madeira
Moveis Princesa Oeste Ltda - Pinhalzinho,https://www.lojasguido.com.br,2026-01-15T14:07:54.730352+00:00,Cadeiras,CADEIRA CASA 7 TAMA (MADEIRA MACIÇA) TEC 1018 ./CASTANHO UNID,MADEIRA MACIÇA,yes,no,CADEIRA CASA 7 TAMA (MADEIRA MACIÇA) TEC 1018 ./CASTANHO UNID,cadeiras,moveis,madeira macica,Madeira
Moveis Princesa Oeste Ltda - Pinhalzinho,https://www.lojasguido.com.br,2026-01-15T14:07:54.730352+00:00,Painéis / Estantes / Racks e Homes,"PAINEL NOTAVEL NT 1370 2P 2,13MT C/LED ./OFF WHITE/FREIJO",FREIJO,yes,no,"PAINEL NOTAVEL NT 1370 2P 2,13MT C/LED ./OFF WHITE/FREIJO",paineis / estantes / racks e homes,moveis,freijo,Freijo
Moveis Princesa Oeste Ltda - Pinhalzinho,https://www.lojasguido.com.br,2026-01-15T14:07:54.730352+00:00,Painéis / Estantes / Racks e Homes,"PAINEL HOME LINEA BRASIL ZURIQUE 2,00MT C/LED ./TAU/OFF BRL",TAU,yes,no,"PAINEL HOME LINEA BRASIL ZURIQUE 2,00MT C/LED ./TAU/OFF BRL",paineis / estantes / racks e homes,moveis,tau,Tau
Moveis Princesa Oeste Ltda - Pinhalzinho,https://www.lojasguido.com.br,2026-01-15T14:07:54.730352+00:00,Painéis / Estantes / Racks e Homes,"PAINEL NOTAVEL NT 1355 1P 1,80MT C/LED ./OFF WHITE/FREIJO",FREIJO,yes,no,"PAINEL NOTAVEL NT 1355 1P 1,80MT C/LED ./OFF WHITE/FREIJO",paineis / estantes / racks e homes,moveis,freijo,Freijo
Moveis Princesa Oeste Ltda - Pinhalzinho,https://www.lojasguido.com.br,2026-01-15T14:07:54.730352+00:00,Mesas,"MESA CIMOL CACAU 1,30X0,90 C/ VD RET. OFF WHITE ./MADEIRA/OF",MADEIRA,yes,no,"MESA CIMOL CACAU 1,30X0,90 C/ VD RET. OFF WHITE ./MADEIRA/OF",mesas,moveis,madeira,Madeira
Moveis Princesa Oeste Ltda - Pinhalzinho,https://www.lojasguido.com.br,2026-01-15T14:07:54.730352+00:00,Sofás / Conjunto Estofado,CONJUNTO ESTOFADO REINO 3X2 PES MADEIRA TECIDO 849 COURISSIMO - PINHAO MARROM,MADEIRA,yes,no,CONJUNTO ESTOFADO REINO 3X2 PES MADEIRA TECIDO 849 COURISSIMO - PINHAO MARROM,sofas / conjunto estofado,moveis,madeira,Madeira
Moveis Princesa Oeste Ltda - Pinhalzinho,https://www.lojasguido.com.br,2026-01-15T14:07:54.730352+00:00,Mesas,"MESA VERSA OVAL - OFF WHITE - MADEIRA LAMINADA - DIMENSÃO 2,00 X 1,00",MADEIRA LAMINADA,yes,no,"MESA VERSA OVAL - OFF WHITE - MADEIRA LAMINADA - DIMENSÃO 2,00 X 1,00",mesas,moveis,madeira laminada,Madeira
Moveis Princesa Oeste Ltda - Pinhalzinho,https://www.lojasguido.com.br,2026-01-15T14:07:54.730352+00:00,Painéis / Estantes / Racks e Homes,PAINEL CLASSIC 1.46 (Ideal para TVs de até 46 polegadas) - OFF WHITE / FREIJO,FREIJO,yes,no,PAINEL CLASSIC 1.46 (Ideal para TVs de até 46 polegadas) - OFF WHITE / FREIJO,paineis / estantes / racks e homes,moveis,freijo,Freijo
Moveis Princesa Oeste Ltda - Pinhalzinho,https://www.lojasguido.com.br,2026-01-15T14:07:54.730352+00:00,Sofás / Conjunto Estofado,"SOFA 3L VERONA 2,26MT PES MADEIRA TECIDO 201/856 CREME MARROM - LINHO",MADEIRA,yes,no,"SOFA 3L VERONA 2,26MT PES MADEIRA TECIDO 201/856 CREME MARROM - LINHO",sofas / conjunto estofado,moveis,madeira,Madeira
